frame,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p1_up,p1_down,p1_left,p1_right,p1_select,p1_start,p1_Y,p1_B,p1_X,p1_A,p1_L,p1_R,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p2_up,p2_down,p2_left,p2_right,p2_select,p2_start,p2_Y,p2_B,p2_X,p2_A,p2_L,p2_R,timer,round_started,round_over,fight_result
655,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
656,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
657,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
658,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
659,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
660,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
661,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
662,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
663,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
664,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
665,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
666,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
667,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
668,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
669,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
670,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
671,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
672,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
673,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
674,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
675,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
676,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
677,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
678,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
679,6,176,1663,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,0,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
680,6,176,205,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,307,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
681,6,176,205,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,307,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
682,6,176,205,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,6,176,307,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,153,False,False,NOT_OVER
